cod_ccaa;comunidad autonoma;cod_prov;provincia;Tipo de edificación;Tipo de dato;anio;valor
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2023;112,802
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2022;111,116
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2021;109,634
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2020;107,798
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2019;107,121
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2018;104,716
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2017;103,763
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2016;101,599
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2015;100
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2014;101,997
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2013;103,808
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2012;106,061
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Índice;2011;108,1
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2023;1,5
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2022;1,4
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2021;1,7
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2020;0,6
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2019;2,3
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2018;0,9
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2017;2,1
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2016;1,6
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2015;-2
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2014;-1,7
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2013;-2,1
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2012;-1,9
8;Castilla-La Mancha;2;Albacete;Vivienda unifamiliar;Variación anual;2011;0
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2023;115,411
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2022;112,811
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2021;110,188
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2020;107,674
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2019;106,803
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2018;103,848
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2017;102,126
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2016;101,296
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2015;100
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2014;100,916
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2013;102,261
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2012;105,192
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Índice;2011;108,017
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2023;2,3
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2022;2,4
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2021;2,3
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2020;0,8
