cod_ccaa;comunidad autonoma;cod_prov;provincia;tipo;anio;valor
1; Andalucía;;;Vivienda nueva;2007;82.147
1; Andalucía;;;Vivienda usada;2007;85.656
1; Andalucía;;;Vivienda libre;2007;151.222
1; Andalucía;;;Vivienda protegida;2007;16.581
1; Andalucía;4; Almería;Vivienda nueva;2007;11.965
1; Andalucía;4; Almería;Vivienda usada;2007;9.507
1; Andalucía;4; Almería;Vivienda libre;2007;20.594
1; Andalucía;4; Almería;Vivienda protegida;2007;878
1; Andalucía;11; Cádiz;Vivienda nueva;2007;15.486
1; Andalucía;11; Cádiz;Vivienda usada;2007;7.465
1; Andalucía;11; Cádiz;Vivienda libre;2007;19.144
1; Andalucía;11; Cádiz;Vivienda protegida;2007;3.807
1; Andalucía;14; Córdoba;Vivienda nueva;2007;5.190
1; Andalucía;14; Córdoba;Vivienda usada;2007;5.825
1; Andalucía;14; Córdoba;Vivienda libre;2007;9.727
1; Andalucía;14; Córdoba;Vivienda protegida;2007;1.288
1; Andalucía;18; Granada;Vivienda nueva;2007;7.920
1; Andalucía;18; Granada;Vivienda usada;2007;8.598
1; Andalucía;18; Granada;Vivienda libre;2007;15.476
1; Andalucía;18; Granada;Vivienda protegida;2007;1.042
1; Andalucía;21; Huelva;Vivienda nueva;2007;6.009
1; Andalucía;21; Huelva;Vivienda usada;2007;4.674
1; Andalucía;21; Huelva;Vivienda libre;2007;9.963
1; Andalucía;21; Huelva;Vivienda protegida;2007;720
1; Andalucía;23; Jaén;Vivienda nueva;2007;3.304
1; Andalucía;23; Jaén;Vivienda usada;2007;6.864
1; Andalucía;23; Jaén;Vivienda libre;2007;8.603
1; Andalucía;23; Jaén;Vivienda protegida;2007;1.565
1; Andalucía;29; Málaga;Vivienda nueva;2007;19.685
1; Andalucía;29; Málaga;Vivienda usada;2007;22.701
1; Andalucía;29; Málaga;Vivienda libre;2007;40.164
1; Andalucía;29; Málaga;Vivienda protegida;2007;2.222
1; Andalucía;41; Sevilla;Vivienda nueva;2007;12.588
1; Andalucía;41; Sevilla;Vivienda usada;2007;20.022
1; Andalucía;41; Sevilla;Vivienda libre;2007;27.551
1; Andalucía;41; Sevilla;Vivienda protegida;2007;5.059
1; Andalucía;;;Vivienda nueva;2008;63.489
1; Andalucía;;;Vivienda usada;2008;56.709
1; Andalucía;;;Vivienda libre;2008;108.947
1; Andalucía;;;Vivienda protegida;2008;11.251
1; Andalucía;4; Almería;Vivienda nueva;2008;9.354
1; Andalucía;4; Almería;Vivienda usada;2008;4.970
1; Andalucía;4; Almería;Vivienda libre;2008;13.757
1; Andalucía;4; Almería;Vivienda protegida;2008;567
1; Andalucía;11; Cádiz;Vivienda nueva;2008;11.029
1; Andalucía;11; Cádiz;Vivienda usada;2008;5.560
1; Andalucía;11; Cádiz;Vivienda libre;2008;14.236
1; Andalucía;11; Cádiz;Vivienda protegida;2008;2.353
1; Andalucía;14; Córdoba;Vivienda nueva;2008;4.633
1; Andalucía;14; Córdoba;Vivienda usada;2008;3.822
1; Andalucía;14; Córdoba;Vivienda libre;2008;7.347
1; Andalucía;14; Córdoba;Vivienda protegida;2008;1.108
1; Andalucía;18; Granada;Vivienda nueva;2008;7.202
1; Andalucía;18; Granada;Vivienda usada;2008;5.644
1; Andalucía;18; Granada;Vivienda libre;2008;12.000
1; Andalucía;18; Granada;Vivienda protegida;2008;846
1; Andalucía;21; Huelva;Vivienda nueva;2008;4.210
1; Andalucía;21; Huelva;Vivienda usada;2008;3.672
1; Andalucía;21; Huelva;Vivienda libre;2008;7.037
1; Andalucía;21; Huelva;Vivienda protegida;2008;845
1; Andalucía;23; Jaén;Vivienda nueva;2008;3.594
1; Andalucía;23; Jaén;Vivienda usada;2008;4.125
1; Andalucía;23; Jaén;Vivienda libre;2008;6.756
1; Andalucía;23; Jaén;Vivienda protegida;2008;963
1; Andalucía;29; Málaga;Vivienda nueva;2008;14.802
1; Andalucía;29; Málaga;Vivienda usada;2008;13.952
1; Andalucía;29; Málaga;Vivienda libre;2008;27.132
1; Andalucía;29; Málaga;Vivienda protegida;2008;1.622
1; Andalucía;41; Sevilla;Vivienda nueva;2008;8.665
1; Andalucía;41; Sevilla;Vivienda usada;2008;14.964
1; Andalucía;41; Sevilla;Vivienda libre;2008;20.682
1; Andalucía;41; Sevilla;Vivienda protegida;2008;2.947
1; Andalucía;;;Vivienda nueva;2009;48.609
1; Andalucía;;;Vivienda usada;2009;38.031
1; Andalucía;;;Vivienda libre;2009;77.415
1; Andalucía;;;Vivienda protegida;2009;9.225
1; Andalucía;4; Almería;Vivienda nueva;2009;7.604
1; Andalucía;4; Almería;Vivienda usada;2009;3.422
1; Andalucía;4; Almería;Vivienda libre;2009;10.704
1; Andalucía;4; Almería;Vivienda protegida;2009;322
1; Andalucía;11; Cádiz;Vivienda nueva;2009;7.579
1; Andalucía;11; Cádiz;Vivienda usada;2009;3.895
1; Andalucía;11; Cádiz;Vivienda libre;2009;9.333
1; Andalucía;11; Cádiz;Vivienda protegida;2009;2.141
1; Andalucía;14; Córdoba;Vivienda nueva;2009;2.855
1; Andalucía;14; Córdoba;Vivienda usada;2009;2.626
1; Andalucía;14; Córdoba;Vivienda libre;2009;4.748
1; Andalucía;14; Córdoba;Vivienda protegida;2009;733
1; Andalucía;18; Granada;Vivienda nueva;2009;5.850
1; Andalucía;18; Granada;Vivienda usada;2009;3.878
1; Andalucía;18; Granada;Vivienda libre;2009;8.191
1; Andalucía;18; Granada;Vivienda protegida;2009;1.537
1; Andalucía;21; Huelva;Vivienda nueva;2009;3.199
1; Andalucía;21; Huelva;Vivienda usada;2009;1.554
1; Andalucía;21; Huelva;Vivienda libre;2009;4.309
1; Andalucía;21; Huelva;Vivienda protegida;2009;444
1; Andalucía;23; Jaén;Vivienda nueva;2009;2.321
1; Andalucía;23; Jaén;Vivienda usada;2009;2.534
1; Andalucía;23; Jaén;Vivienda libre;2009;4.309
1; Andalucía;23; Jaén;Vivienda protegida;2009;546
1; Andalucía;29; Málaga;Vivienda nueva;2009;12.732
1; Andalucía;29; Málaga;Vivienda usada;2009;10.555
1; Andalucía;29; Málaga;Vivienda libre;2009;22.185
1; Andalucía;29; Málaga;Vivienda protegida;2009;1.102
1; Andalucía;41; Sevilla;Vivienda nueva;2009;6.469
1; Andalucía;41; Sevilla;Vivienda usada;2009;9.567
1; Andalucía;41; Sevilla;Vivienda libre;2009;13.636
1; Andalucía;41; Sevilla;Vivienda protegida;2009;2.400
1; Andalucía;;;Vivienda nueva;2010;44.399
1; Andalucía;;;Vivienda usada;2010;38.796
1; Andalucía;;;Vivienda libre;2010;73.835
1; Andalucía;;;Vivienda protegida;2010;9.360
1; Andalucía;4; Almería;Vivienda nueva;2010;6.738
1; Andalucía;4; Almería;Vivienda usada;2010;3.107
1; Andalucía;4; Almería;Vivienda libre;2010;9.412
1; Andalucía;4; Almería;Vivienda protegida;2010;433
1; Andalucía;11; Cádiz;Vivienda nueva;2010;6.992
1; Andalucía;11; Cádiz;Vivienda usada;2010;4.505
1; Andalucía;11; Cádiz;Vivienda libre;2010;9.447
1; Andalucía;11; Cádiz;Vivienda protegida;2010;2.050
1; Andalucía;14; Córdoba;Vivienda nueva;2010;2.627
1; Andalucía;14; Córdoba;Vivienda usada;2010;2.925
1; Andalucía;14; Córdoba;Vivienda libre;2010;4.890
1; Andalucía;14; Córdoba;Vivienda protegida;2010;662
1; Andalucía;18; Granada;Vivienda nueva;2010;5.267
1; Andalucía;18; Granada;Vivienda usada;2010;3.668
1; Andalucía;18; Granada;Vivienda libre;2010;8.161
1; Andalucía;18; Granada;Vivienda protegida;2010;774
1; Andalucía;21; Huelva;Vivienda nueva;2010;3.452
1; Andalucía;21; Huelva;Vivienda usada;2010;1.616
1; Andalucía;21; Huelva;Vivienda libre;2010;4.319
1; Andalucía;21; Huelva;Vivienda protegida;2010;749
1; Andalucía;23; Jaén;Vivienda nueva;2010;1.756
1; Andalucía;23; Jaén;Vivienda usada;2010;2.496
1; Andalucía;23; Jaén;Vivienda libre;2010;3.686
1; Andalucía;23; Jaén;Vivienda protegida;2010;566
1; Andalucía;29; Málaga;Vivienda nueva;2010;11.024
1; Andalucía;29; Málaga;Vivienda usada;2010;10.966
1; Andalucía;29; Málaga;Vivienda libre;2010;20.359
1; Andalucía;29; Málaga;Vivienda protegida;2010;1.631
1; Andalucía;41; Sevilla;Vivienda nueva;2010;6.543
1; Andalucía;41; Sevilla;Vivienda usada;2010;9.513
1; Andalucía;41; Sevilla;Vivienda libre;2010;13.561
1; Andalucía;41; Sevilla;Vivienda protegida;2010;2.495
1; Andalucía;;;Vivienda nueva;2011;36.916
1; Andalucía;;;Vivienda usada;2011;35.837
1; Andalucía;;;Vivienda libre;2011;63.855
1; Andalucía;;;Vivienda protegida;2011;8.898
1; Andalucía;4; Almería;Vivienda nueva;2011;5.388
1; Andalucía;4; Almería;Vivienda usada;2011;4.496
